country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","03-04-2025 20:00:00",18.9767,72.8380,NO2,18,95,41
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","03-04-2025 20:00:00",18.9767,72.8380,SO2,9,13,10
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","03-04-2025 20:00:00",19.0364585,72.8954371,PM10,75,109,93
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","03-04-2025 20:00:00",19.0364585,72.8954371,NH3,9,13,11
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","03-04-2025 20:00:00",19.10078,72.87462,PM10,76,98,86
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","03-04-2025 20:00:00",19.065931,72.862131,PM2.5,2,157,42
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","03-04-2025 20:00:00",19.192056,72.9585188,OZONE,3,78,48
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","03-04-2025 20:00:00",18.1023399,73.4783687,NH3,3,8,5
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","03-04-2025 20:00:00",18.910000,72.820000,PM2.5,15,32,23
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","03-04-2025 20:00:00",19.25292,73.142019,CO,6,11,7
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","03-04-2025 20:00:00",19.04946,72.9230,PM2.5,34,177,92
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","03-04-2025 20:00:00",19.083694,72.920967,PM2.5,40,86,68
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","03-04-2025 20:00:00",19.083694,72.920967,OZONE,4,23,20
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","03-04-2025 20:00:00",19.205800,72.868200,PM10,NA,NA,NA
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","03-04-2025 20:00:00",19.205800,72.868200,NO2,1,2,1
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","03-04-2025 20:00:00",19.205800,72.868200,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","03-04-2025 20:00:00",19.215859,72.831718,PM2.5,41,110,72
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","03-04-2025 20:00:00",19.215859,72.831718,NH3,NA,NA,NA
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","03-04-2025 20:00:00",19.0632143,72.8456324,NH3,8,24,14
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","03-04-2025 20:00:00",19.0632143,72.8456324,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM","03-04-2025 20:00:00",19.1653323,72.922099,PM10,54,115,90
